CIUDAD	LATITUD	LONGITUD	DEMANDA (PALLETS/AÑO)
Managua	12.1364	-86.2514	45000
León	12.4348	-86.8780	25000
Granada	11.9344	-85.9560	20000
Masaya	11.9736	-86.0931	18000
Chinandega	12.6297	-87.1314	16000
Matagalpa	12.9255	-85.9174	15000
Estelí	13.0919	-86.3537	14000
Jinotega	13.0919	-86.0027	12000
Chontales	12.0667	-85.3667	10000
Rivas	11.4376	-85.8264	9000
Nueva Segovia	13.7833	-86.5667	8500
Carazo	11.8500	-86.2000	8000
Boaco	12.4697	-85.6586	7500
Madriz	13.4667	-86.4667	7000
Río San Juan	11.1167	-84.2833	6500
Bluefields	12.0131	-83.7668	6000
Puerto Cabezas	14.0351	-83.3828	5500
Tipitapa	12.1978	-86.0970	5000
Ciudad Sandino	12.1589	-86.3419	4800
Diriamba	11.8581	-86.2392	4500
Jinotepe	11.8495	-86.1989	4200
Nagarote	12.2667	-86.5667	4000
Ocotal	13.6322	-86.4750	3800
Somoto	13.4833	-86.5833	3600
Corinto	12.4825	-87.1728	3400
El Viejo	12.6628	-87.1667	3200
Masatepe	11.9167	-86.1444	3000
Nindirí	11.9500	-86.1167	2800
Catarina	11.9167	-86.0833	2600
San Marcos	11.9097	-86.2039	2400
Tisma	12.0833	-86.0167	2200
Dolores	11.8500	-86.2167	2000
San Rafael del Sur	11.8486	-86.4386	1800
Villa El Carmen	11.9167	-86.3333	1700
Ticuantepe	12.0236	-86.2044	1600
El Crucero	11.9833	-86.3167	1500
La Concepción	11.9361	-86.1889	1400
Niquinohomo	11.9044	-86.0944	1300
San Juan de Oriente	11.9167	-86.0500	1200
Diria	11.8833	-86.0500	1100
Diriomo	11.8756	-86.0544	1000
El Rama	12.1597	-84.2197	950
Juigalpa	12.1067	-85.3644	900
Acoyapa	11.9667	-85.1833	850
Comalapa	12.2833	-85.5167	800
San Lorenzo	12.3833	-85.6667	750
Teustepe	12.4167	-85.7833	700
Camoapa	12.3833	-85.5167	650
Santo Tomás	12.0833	-85.0833	600
Villa Sandino	11.5833	-84.9833	550
Morrito	11.4667	-85.1667	500
San Carlos	11.1242	-84.7706	450
San Miguelito	11.2167	-85.0167	400
El Almendro	11.1500	-84.8000	350
Nueva Guinea	11.6833	-84.4500	300
El Castillo	11.0167	-84.4000	250
Rama Cay	12.1597	-84.2197	200
Kukra Hill	12.2350	-83.7514	180
Laguna de Perlas	12.3431	-83.6714	160
Corn Island	12.1792	-83.0597	140
Waspam	14.7333	-83.9667	120
